,x_yng,x_old
0,"[-10.1341     -10.98926647 -13.46209534 -17.28461722 -22.04260256
 -27.22044981 -32.25705889 -36.60663504 -39.79783422 -41.48484045
 -41.48484045 -39.79783422 -36.60663504 -32.25705889 -27.22044981
 -22.04260256 -17.28461722 -13.46209534 -10.98926647 -10.1341    ]","[-12.4072     -12.12401923 -11.30516396 -10.03936985  -8.46380535
  -6.74920731  -5.08137903  -3.64105559  -2.58431839  -2.02568128
  -2.02568128  -2.58431839  -3.64105559  -5.08137903  -6.74920731
  -8.46380535 -10.03936985 -11.30516396 -12.12401923 -12.4072    ]"
1,"[-12.6645     -12.34126192 -11.40657554  -9.96172863  -8.16329277
  -6.2061564   -4.30240561  -2.65834133  -1.45212344  -0.81446437
  -0.81446437  -1.45212344  -2.65834133  -4.30240561  -6.2061564
  -8.16329277  -9.96172863 -11.40657554 -12.34126192 -12.6645    ]","[-29.4839     -30.62174876 -33.91199147 -38.99807929 -45.32885567
 -52.21828277 -58.91978426 -64.70714846 -68.95322467 -71.19788464
 -71.19788464 -68.95322467 -64.70714846 -58.91978426 -52.21828277
 -45.32885567 -38.99807929 -33.91199147 -30.62174876 -29.4839    ]"
2,"[-45.1132     -46.30902973 -49.76693222 -55.11219007 -61.76556165
 -69.00605093 -76.04903853 -82.13130747 -86.59374953 -88.95278987
 -88.95278987 -86.59374953 -82.13130747 -76.04903853 -69.00605093
 -61.76556165 -55.11219007 -49.76693222 -46.30902973 -45.1132    ]","[-15.519      -17.30117387 -22.45456928 -30.42073588 -40.33641591
 -51.12709157 -61.62342574 -70.68797773 -77.33846268 -80.85419736
 -80.85419736 -77.33846268 -70.68797773 -61.62342574 -51.12709157
 -40.33641591 -30.42073588 -22.45456928 -17.30117387 -15.519     ]"
3,"[-68.8692     -67.01218349 -61.64237051 -53.34166361 -43.0095732
 -31.76574158 -20.82861237 -11.38339324  -4.45362023  -0.79024178
  -0.79024178  -4.45362023 -11.38339324 -20.82861237 -31.76574158
 -43.0095732  -53.34166361 -61.64237051 -67.01218349 -68.8692    ]","[-45.8077     -45.62690839 -45.10412514 -44.29600192 -43.29011142
 -42.1954575  -41.13066288 -40.21111458 -39.53645993 -39.17980824
 -39.17980824 -39.53645993 -40.21111458 -41.13066288 -42.1954575
 -43.29011142 -44.29600192 -45.10412514 -45.62690839 -45.8077    ]"
4,"[-5.51000000e-02 -2.83710831e+00 -1.08816595e+01 -2.33170015e+01
 -3.87955722e+01 -5.56400282e+01 -7.20250114e+01 -8.61749546e+01
 -9.65564918e+01 -1.02044622e+02 -1.02044622e+02 -9.65564918e+01
 -8.61749546e+01 -7.20250114e+01 -5.56400282e+01 -3.87955722e+01
 -2.33170015e+01 -1.08816595e+01 -2.83710831e+00 -5.51000000e-02]","[ -95.8626      -95.98001946  -96.3195536   -96.84440865  -97.4977084
  -98.2086577   -98.90021415  -99.49743689  -99.93560757 -100.16724358
 -100.16724358  -99.93560757  -99.49743689  -98.90021415  -98.2086577
  -97.4977084   -96.84440865  -96.3195536   -95.98001946  -95.8626    ]"
5,"[-100.2262     -100.03482108  -99.48142319  -98.62597559  -97.56117929
  -96.40242149  -95.27527159  -94.30187376  -93.58771076  -93.21017324
  -93.21017324  -93.58771076  -94.30187376  -95.27527159  -96.40242149
  -97.56117929  -98.62597559  -99.48142319 -100.03482108 -100.2262    ]","[-114.357      -113.95408617 -112.78900666 -110.98801589 -108.74627918
 -106.30672347 -103.93371248 -101.88439878 -100.38085729  -99.58602008
  -99.58602008 -100.38085729 -101.88439878 -103.93371248 -106.30672347
 -108.74627918 -110.98801589 -112.78900666 -113.95408617 -114.357     ]"
6,"[-55.8522     -54.83532508 -51.89489451 -47.34954956 -41.69184888
 -35.53489213 -29.54588112 -24.3738181  -20.57917637 -18.57316424
 -18.57316424 -20.57917637 -24.3738181  -29.54588112 -35.53489213
 -41.69184888 -47.34954956 -51.89489451 -54.83532508 -55.8522    ]","[-95.4309     -95.55391112 -95.9096143  -96.4594636  -97.1438743
 -97.88867989 -98.61316912 -99.23883235 -99.69786926 -99.94053607
 -99.94053607 -99.69786926 -99.23883235 -98.61316912 -97.88867989
 -97.1438743  -96.4594636  -95.9096143  -95.55391112 -95.4309    ]"
7,"[-118.1022     -117.85176187 -117.12758635 -116.00814908 -114.61475847
 -113.09841001 -111.62342358 -110.34963685 -109.41508437 -108.92103942
 -108.92103942 -109.41508437 -110.34963685 -111.62342358 -113.09841001
 -114.61475847 -116.00814908 -117.12758635 -117.85176187 -118.1022    ]","[ -3.3167      -3.82298911  -5.28699217  -7.55006172 -10.36695906
 -13.43242966 -16.41428222 -18.98938673 -20.87869068 -21.87745866
 -21.87745866 -20.87869068 -18.98938673 -16.41428222 -13.43242966
 -10.36695906  -7.55006172  -5.28699217  -3.82298911  -3.3167    ]"
8,"[ -50.606       -52.02238607  -56.11805686  -62.44918289  -70.32968843
  -78.90559841  -87.24757993  -94.45164984  -99.73713538 -102.5312722
 -102.5312722   -99.73713538  -94.45164984  -87.24757993  -78.90559841
  -70.32968843  -62.44918289  -56.11805686  -52.02238607  -50.606     ]","[-89.2358     -87.57827899 -82.78533407 -75.37635519 -66.15422018
 -56.11829047 -46.35611476 -37.92557626 -31.74025463 -28.47042546
 -28.47042546 -31.74025463 -37.92557626 -46.35611476 -56.11829047
 -66.15422018 -75.37635519 -82.78533407 -87.57827899 -89.2358    ]"
9,"[-10.0096     -11.426322   -15.52296419 -21.85559181 -29.73796642
 -38.3159104  -46.65987044 -53.86564898 -59.15238812 -61.94718764
 -61.94718764 -59.15238812 -53.86564898 -46.65987044 -38.3159104
 -29.73796642 -21.85559181 -15.52296419 -11.426322   -10.0096    ]","[-13.4537     -15.34231048 -20.80348166 -29.24541092 -39.75328421
 -51.18841044 -62.31161623 -71.91752965 -78.96520091 -82.6909055
 -82.6909055  -78.96520091 -71.91752965 -62.31161623 -51.18841044
 -39.75328421 -29.24541092 -20.80348166 -15.34231048 -13.4537    ]"
10,"[-110.4395     -110.07877287 -109.03568186 -107.42326206 -105.41624418
 -103.23211975 -101.10757254  -99.27283021  -97.92671555  -97.21510099
  -97.21510099  -97.92671555  -99.27283021 -101.10757254 -103.23211975
 -105.41624418 -107.42326206 -109.03568186 -110.07877287 -110.4395    ]","[-108.9294     -108.14905991 -105.89260162 -102.40454737  -98.06288199
  -93.33809227  -88.74218249  -84.77319081  -81.86121904  -80.32182451
  -80.32182451  -81.86121904  -84.77319081  -88.74218249  -93.33809227
  -98.06288199 -102.40454737 -105.89260162 -108.14905991 -108.9294    ]"
11,"[-102.6963     -103.15314734 -104.47418288 -106.51625191 -109.05806457
 -111.82417601 -114.51483514 -116.8384673  -118.54327088 -119.44450397
 -119.44450397 -118.54327088 -116.8384673  -114.51483514 -111.82417601
 -109.05806457 -106.51625191 -104.47418288 -103.15314734 -102.6963    ]","[-65.9727     -64.53112437 -60.36261456 -53.91889331 -45.89823777
 -37.16981045 -28.67947187 -21.34728196 -15.96779727 -13.12396843
 -13.12396843 -15.96779727 -21.34728196 -28.67947187 -37.16981045
 -45.89823777 -53.91889331 -60.36261456 -64.53112437 -65.9727    ]"
12,"[-97.9837     -95.60795943 -88.73818609 -78.1188265  -64.90065306
 -50.51605995 -36.52384105 -24.44027039 -15.57479033 -10.8881132
 -10.8881132  -15.57479033 -24.44027039 -36.52384105 -50.51605995
 -64.90065306 -78.1188265  -88.73818609 -95.60795943 -97.9837    ]","[ -3.2432      -3.55614878  -4.46108225  -5.85993683  -7.60112492
  -9.49596178 -11.33911243 -12.9308429  -14.09866449 -14.71602562
 -14.71602562 -14.09866449 -12.9308429  -11.33911243  -9.49596178
  -7.60112492  -5.85993683  -4.46108225  -3.55614878  -3.2432    ]"
13,"[ -6.1362      -7.82007551 -12.68922799 -20.21600923 -29.58477568
 -39.78027612 -49.6976699  -58.2622535  -64.5459214  -67.86774068
 -67.86774068 -64.5459214  -58.2622535  -49.6976699  -39.78027612
 -29.58477568 -20.21600923 -12.68922799  -7.82007551  -6.1362    ]","[ -94.5689      -95.14516614  -96.8115172   -99.38737817 -102.59361455
 -106.08278089 -109.47677186 -112.40779588 -114.55823103 -115.69504428
 -115.69504428 -114.55823103 -112.40779588 -109.47677186 -106.08278089
 -102.59361455  -99.38737817  -96.8115172   -95.14516614  -94.5689    ]"
